일련번호	단어	감정범주	빈도	감정정도M	감정정도STD
299	울컥하다	슬픔	83.8	6.47	2.4
300	울화통	분노	78.8	7.76	2.15
301	움찔하다	놀람	81.3	6.22	2.43
302	웃다	기쁨	98.8	7.16	2.47
303	웃어넘기다	기쁨	45	4.62	3.17
304	웃음거리	분노	38.8	5.25	2.44
305	원더풀	기쁨	86.3	7.17	2.6
306	원망하다	분노	73.8	6.45	2.74
307	원통하다	슬픔	82.5	7.82	1.94
308	웬수	분노	75	5.89	2.99
309	유감스럽다	슬픔	83.8	5.89	2.79
310	유쾌하다	기쁨	97.5	7.65	2.26
311	으스스하다	공포	96.3	6.39	2.59
312	으쓱하다	기쁨	76.3	6.22	2.55
313	으악	놀람	65	7.3	2.55
314	으앙	슬픔	88.8	5.7	2.81
315	으이구	분노	42.5	3.53	2.68
316	으하하하	기쁨	91.3	7.43	2.44
317	을씨년스럽다	공포	47.5	6.28	2.5
318	음울하다	슬픔	87.5	6.13	2.35
319	의심스럽다	분노	40	3.99	2.22
320	이상하다	놀람	41.3	4.91	2.59
321	이새끼	분노	78.8	6.75	2.73
322	이힛힛힛	기쁨	87.5	6.04	2.77
323	자부하다	기쁨	70	6.15	2.63
324	자책하다	슬픔	77.5	5.28	2.59
325	자포자기하다	슬픔	61.3	5.24	2.79
326	잔인하다	공포	75	7.58	2.4
327	잔혹하다	공포	66.3	6.87	2.75
328	잡놈	분노	72.5	6.68	2.77
329	재미없다	지루함	93.8	8.68	1.73
330	재미있다	기쁨	90	7.29	2.42
331	저년	분노	77.5	6.86	2.67
332	저놈	분노	73.8	5.3	3.01
333	적적하다	슬픔	63.7	5.06	2.69
334	절규하다	슬픔	86.3	7.45	2.56
335	절망하다	슬픔	82.5	7.04	2.27
336	절박하다	슬픔	72.5	5.81	2.37
337	절실하다	슬픔	60	5.24	2.87
338	절절매다	슬픔	42.5	5.31	2.45
339	절절하다	슬픔	77.5	5.98	2.65
340	제기랄	분노	88.8	6.61	2.62
341	조마조마하다	공포	47.5	4.63	2.75
342	조심스럽다	중성	38.8	9.07	1.25
343	좋다	기쁨	100	7.41	2.58
344	좌절되다	슬픔	88.8	6.62	2.71
345	죄송하다	슬픔	85	4.88	2.44
346	죄책감	슬픔	67.5	6.64	2.79
347	주눅들다	슬픔	46.3	4.26	2.29
348	즐겁다	기쁨	95	8.26	2.26
349	증오하다	분노	77.5	8.41	1.75
350	지겹다	지루함	87.5	8.95	1.79
351	지긋지긋하다	지루함	76.3	8.37	1.73
352	지끈거리다	통증	66.3	7.05	2.42
353	지독하다	혐오	58.8	5.65	2.39
354	지랄하다	분노	76.3	7.11	2.48
355	지루함하다	지루함	97.5	9.15	1.7
356	진노하다	분노	83.8	8.03	2.42
357	질투하다	분노	60	5.26	2.44
358	징그럽다	혐오	87.5	7.83	2.15
359	짜증나다	분노	81.3	6.57	2.4
360	짠하다	슬픔	93.8	6.54	2.46
361	쭈뼛거리다	기타	30	6.19	2.35
362	찜찜하다	혐오	33.8	4.24	2.94
363	찡하다	슬픔	93.8	6.67	2.59
364	착잡하다	슬픔	67.5	5.45	2.7
365	참담하다	슬픔	80	6.71	2.48
366	참회하다	슬픔	66.3	5.22	2.4
367	창피하다	슬픔	37.5	4.33	2.6
368	처량하다	슬픔	92.5	6.07	2.4
369	처절하다	슬픔	78.8	6.36	2.35
370	처참하다	슬픔	81.3	6.82	2.41
371	천만다행이다	기쁨	66.3	6.28	3.17
372	철렁하다	놀람	65	7.47	1.73
373	청승맞다	슬픔	56.3	5.34	2.73
374	초라하다	슬픔	81.3	5.49	2.72
375	초조하다	공포	48.8	4.45	2.37
376	충격적	놀람	75	8.49	1.66
377	충동적	흥미	37.5	6.03	2.61
378	측은하다	슬픔	83.8	6.05	2.43
379	치떨리다	분노	71.3	8.06	2.04
380	치밀어오르다	분노	91.3	7.66	2.14
381	치사하다	분노	63.7	5.05	2.45
382	치욕적	분노	68.8	6.97	2.49
383	친근하다	기쁨	65	5.79	2.64
384	친숙하다	기쁨	71.3	5.07	2.79
385	침울하다	슬픔	98.8	6.97	2.3
386	침통하다	슬픔	92.5	6.87	2.23
387	카핫핫핫	기쁨	93.8	6.73	2.91
388	코웃음치다	혐오	33.8	3.89	2.68
389	콩닥거리다	기쁨	67.5	6.15	2.45
390	쾌적하다	기쁨	83.8	6.61	2.63
391	킬킬거리다	기쁨	72.5	5.48	2.73
392	탄복하다	슬픔	62.5	6.26	2.72
393	탄식하다	슬픔	83.8	6.26	2.61
394	탐나다	흥미	70	7.32	2.26
395	통쾌하다	기쁨	98.8	7.77	2.36
396	통탄하다	슬픔	88.8	7.49	2.32
397	편안하다	기쁨	81.3	6.18	2.84
398	하하	기쁨	93.8	6.79	2.94
399	한숨짓다	슬픔	68.8	5.25	2.64
400	한스럽다	슬픔	77.5	7.04	2.44
401	한탄하다	슬픔	87.5	6.16	2.23
402	함박웃음	기쁨	98.8	8.68	1.91
403	해괴하다	혐오	52.5	6.01	2.91
404	행복하다	기쁨	98.8	9.02	1.63
405	허무하다	슬픔	48.8	5.42	2.79
406	허전하다	슬픔	67.5	5.61	2.5
407	허탈하다	슬픔	58.8	4.59	2.51
408	허허	기쁨	76.3	4.86	2.69
409	헉	놀람	85	6.74	2.65
410	후련하다	기쁨	85	6.78	2.75
411	후회하다	슬픔	83.8	5.6	2.51
412	후후	기쁨	61.3	4.64	2.38
413	훌륭하다	기쁨	81.3	6.92	2.31
414	휑하다	슬픔	50	6.22	2.55
415	휘둥그레지다	놀람	90	8.25	1.93
416	흉측하다	혐오	80	8.34	2
417	흐뭇하다	기쁨	96.3	6.91	2.66
418	흐흐	기쁨	70	4.67	2.43
419	흑흑	슬픔	95	6.54	2.94
420	흠칫하다	놀람	81.3	6.79	2.39
421	흡족하다	기쁨	92.5	7.18	2.42
422	흥겹다	기쁨	93.8	7.72	2.1
423	흥미롭다	흥미	82.5	8.99	1.74
424	흥분하다	분노	56.3	6.72	2.71
425	희희낙락하다	기쁨	95	7.14	2.4
426	히죽거리다	기쁨	83.8	5.61	2.75
427	히죽거리다	기쁨	83.8	5.61	2.75
428	히히	기쁨	95	5.76	2.87
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
